1.841022712949186291e-02,1.446273100287522040e-01
4.415673858779049776e-03,1.509351681786408050e-01
4.509854175991732245e-02,1.175379940508680804e-01
7.187944083668497408e-02,8.427748272336636759e-02
1.022804418594451953e-01,8.546869979810420292e-02
1.095856691728630816e-01,9.935664656856077470e-02
9.853014955983709078e-02,6.730376771262633340e-02
1.657218835419172753e-01,3.137884730294680097e-02
1.832659879496749689e-01,1.911280500672775037e-02
1.752833400653382445e-01,1.895146456484888067e-02
2.050941382124932821e-01,-1.636973852480361549e-02
3.342501763388782132e-01,-1.242850965329730245e-01
4.005318635522210347e-01,-1.451428242837635996e-01
3.915590384169345128e-01,-1.495827662009489578e-01
3.901377267624673295e-01,-1.656900112087307808e-01
4.027047921468096536e-01,-1.695543493617260311e-01
4.135308008011862602e-01,-1.650326408341939999e-01
4.053856437735846585e-01,-1.784301677610935777e-01
4.178771138164870114e-01,-1.745540641253003622e-01
4.315997260901324739e-01,-1.814310254253165555e-01
